ten_thuy_dien,cong_xuat,san_luong,nam_khoi_cong,nam_hoat_dong,vi_do,kinh_do,tren_song,vi_tri_hanh_chinh,tinh_trang,qui_mo,loai,dung_tich,luu_vuc,chu_dau_tu,loai_hinh,von_dau_tu
Đông Pao,6.5,27,7/11/1905,7/13/1905,,,Nậm Đích,xã Bản Hon huyện Tam Đường tỉnh Lai Châu,,,,,,,,
Chu Va 2,12,,11/1/2017,5/1/2019,,,Nậm Giê,xã Sơn Bình huyện Tam Đường tỉnh Lai Châu,,,,,,,,
Nậm Giôn,20,,6/29/1905,7/3/1905,21.67278,103.77167,Nậm Giôn,xã Nậm Giôn huyện Mường La và xã Chiềng Ơn huyện Quỳnh Nhai tỉnh Sơn La[30],,,,,,,,
Nậm He,16,59,7/2/1905,7/6/1905,21.964962,103.101254,Nậm He,xã Mường Tùng huyện Mường Chà tỉnh Điện Biên[31],,,,,,,,
Nậm Hồng 1&2,16,,7/3/1905,7/5/1905,21.45750,104.19306,Nậm Hồng,xã Chiềng Công huyện Mường La tỉnh Sơn La,,,,,,,,
Nậm Khốt,14,56,6/29/1905,7/3/1905,21.631508,104.171764,Nậm Khắt,xã Ngọc Chiến huyện Mường La tỉnh Sơn La,,,,,,,,
Khao Mang Thượng,24.5,71,7/4/1905,7/7/1905,21.867566,103.999024,Nậm Kim,xã Khao Mang huyện Mù Cang Chải tỉnh Yên Bái[32],,,,,,,,
Khao Mang Hạ,30,,7/5/1905,7/9/1905,21.877930,103.942984,Nậm Kim,"xã Khao Mang, Lao Chải & Hồ Bốn huyện Mù Cang Chải tỉnh Yên Bái",,,,,,,,
Hồ Bốn,18,73,6/30/1905,7/4/1905,21.877756,103.941975,Nậm Kim,xã Hồ Bốn huyện Mù Căng Chải tỉnh Yên Bái[33],,,,,,,,
Mường Kim,13.5,54,6/29/1905,7/2/1905,21.875909,103.923733,Nậm Kim,xã Hồ Bốn huyện Mù Căng Chải tỉnh Yên Bái,,,,,,,,
Mường Kim 2,10.5,,7/10/1905,7/12/1905,21.875658,103.893396,Nậm Kim,"xã Mường Kim huyện Than Uyên tỉnh Lai Châu & xã Hồ Bốn huyện Mù Căng Chải 
tỉnh Yên Bái",,,,,,,,
Nậm La,32,103.5,12/1/2007,7/3/1905,21.404925,103.983642,Nậm La,xã Chiềng Xôm và Mường Bú huyện Mường La tỉnh Sơn La,,,,,,,,
Nậm Lụm 2,18,69.4,7/10/1905,5/1/2021,22.624490,103.381327,Nậm Lụm,xã Bản Lang huyện Phong Thổ tỉnh Lai Châu,,,,,,,,
Suối Lừm 1,20,80.3,,7/5/1905,21.370791,104.218957,Nậm Lừm,xã Pắc Ngà và Hang Chú huyện Bắc Yên tỉnh Sơn La,,,,,,,,
Suối Lừm 3,14,,7/3/1905,7/8/1905,21.361513,104.202069,Nậm Lừm,xã Pắc Ngà huyện Bắc Yên tỉnh Sơn La,,,,,,,,
Nậm Mở 2,12,48.8,12/1/2010,7/5/1905,21.772664,103.907909,Nậm Mở,xã Khoen On huyện Than Uyên tỉnh Lai Châu,,,,,,,,
Nậm Mở 3,10,40,6/29/1905,7/1/1905,21.748648,103.874458,Nậm Mở,xã Khoen On huyện Than Uyên tỉnh Lai Châu,,,,,,,,
Nậm Mu 2,10.2,,7/7/1905,7/9/1905,21.789187,103.324687,Nậm Mu,xã Mường Mùn huyện Tuần Giáo tỉnh Điện Biên,,,,,,,,
Huổi Chan 1,15,65,7/9/1905,7/12/1905,21.605379,103.022821,Nậm Mức,xã Mường Pồn huyện Điện Biên tỉnh Điện Biên,,,,,,,,
Long Tạo,42,189,7/9/1905,7/11/1905,21.714051,103.216151,Nậm Mức,"xã Pú Xi huyện Tuần Giáo và Mường MươnNa SangHuổi Mí huyện Mường Chà tỉnh Điện 
Biên",,,,,,,,
Nậm Mức,44,176,7/1/1905,7/6/1905,21.798081,103.293494,Nậm Mức,"xã Mường Mùn huyện Tuần Giáo và xã Pa Ham huyện Mường Chà, tỉnh Điện Biên",,,,,,,,
Trung Thu,30,124,7/6/1905,7/8/1905,21.937197,103.254475,Nậm Mức,"xã Trung Thu huyện Tủa Chùa và xã Pa Ham huyện Mường Chà, tỉnh Điện Biên",,,,,,,,
Chiềng Ngàm Thượng,10,41,7/3/1905,7/4/1905,21.490522,103.780571,Suối Muội,xã Chiềng Ngàm huyện Thuận Châu tỉnh Sơn La,,,,,,,,
Nậm Na 1,30,125,7/7/1905,6/1/2018,22.596134,103.259937,Nậm Na,xã Hoang Thèn huyện Phong Thổ tỉnh Lai Châu,,,,,,,,
Nậm Na 2,66,254,7/1/1905,7/7/1905,22.493591,103.231785,Nậm Na,xã Huổi Luông huyện Phong Thổ và xã Phìn Hồ huyện Sìn Hồ tỉnh Lai Châu,,,,,,,,
Nậm Na 3,84,361,7/4/1905,7/7/1905,22.299178,103.161471,Nậm Na,xã Chăn Nưa huyện Sìn Hồ tỉnh Lai Châu,,,,,,,,
Nậm Nghẹ,7.5,,7/9/1905,,22.416647,102.952850,Nậm Nghẹ,xã Hua Bum huyện Nậm Nhùn tỉnh Lai Châu,,,,,,,,
Nậm Núa,10.8,,7/7/1905,7/9/1905,21.30167,102.93778,Nậm Nứa,xã Pa Thơm huyện Điện Biên tỉnh Điện Biên,,,,,,,,
Nậm Pàn 5,34.5,,7/2/1905,,21.346895,104.014026,Nậm Pàn,xã Mường Bú huyện Mường La tỉnh Sơn La,,,,,,,,
Nậm Pay,7.5,25.3,7/6/1905,7/11/1905,21.790030,103.395168,Nậm Pay,xã Nà Tòng huyện Tuần Giáo tỉnh Điện Biên[34],,,,,,,,
Chiềng Công 1&2,8,,7/1/1905,7/3/1905,21.457178,104.210367,Nậm Pia,xã Chiềng Công huyện Mường La tỉnh Sơn La,,,,,,,,
Nậm Pia,15,61,6/28/1905,7/1/1905,21.445197,104.169100,Nậm Pia,xã Chiềng Hoa huyện Mường La tỉnh Sơn La,,,,,,,,
Háng Đồng A,16,,7/4/1905,7/7/1905,21.312947,104.476603,Sập,xã Háng Đồng huyện Bắc Yên tỉnh Sơn La,,,,,,,,
Háng Đồng A1,8.4,,7/2/1905,7/4/1905,21.265794,104.540703,Sập,xã Háng Đồng huyện Bắc Yên tỉnh Sơn La,,,,,,,,
Suối Sập 3,14,51,6/30/1905,7/3/1905,21.223481,104.495428,Sập,xã Phiêng Ban huyện Bắc Yên & xã Suối Bau huyện Phù Yên,,,,,,,,
Sập Việt,21,84,7/2/1905,,21.031533,104.213836,Sập,xã Sặp Vạt huyện Yên Châu tỉnh Sơn La,,,,,,,,
Nậm Sì Lường 1,30,,7/9/1905,7/12/1905,22.442410,102.833526,Nậm Sì Lường,xã Pa Vệ Sử huyện Mường Tè tỉnh Lai Châu,,,,,,,,
Nậm Sì Lường 3,21,,7/9/1905,7/12/1905,,,Nậm Sì Lường,xã Pa Vệ Sử và Bum Tở huyện Mường Tè tỉnh Lai Châu,,,,,,,,
Nậm Sì Lường 4,20,,7/9/1905,7/12/1905,,,Nậm Sì Lường,xã Pa Vệ Sử và Bum Tở huyện Mường Tè tỉnh Lai Châu,,,,,,,,
Tô Buông - Đông Khùa,10.1,43,12/1/2013,11/1/2017,20.949311,104.415406,Tô Buông,xã Tú Nang huyện Yên Châu tỉnh Sơn La[35],,,,,,,,
Nậm Xá,9.6,,7/4/1905,7/7/1905,21.47583,104.18444,Nậm Xá,xã Chiềng Ân huyện Mường La tỉnh Sơn La,,,,,,,,
Nậm Pạc,34,150,7/10/1905,7/12/1905,22.521305,103.469330,Nậm Xe,xã Nậm Xe và Sin Suối Hồ huyện Phong Thổ tỉnh Lai Châu,,,,,,,,
Xím Vàng 2,6.6,68,7/9/1905,7/11/1905,21.342677,104.350098,Xím Vàng,xã Xím Vàng và Hang Chú huyện Bắc Yên tỉnh Sơn La,,,,,,,,
Tà Cọ,30,132,7/1/1905,7/4/1905,20.969853,103.633418,Nậm Công,Tt. Sốp Cộp huyện Sốp Cộp tỉnh Sơn La[36],,,,,,,,
Nậm Hóa 1,18,70,7/3/1905,7/7/1905,21.355650,103.407597,Nậm Hua,xã Mường Bám huyện Thuận Châu tỉnh Sơn La,,,,,,,,
Sông Mã 3,29.5,104.5,3/1/2016,,21.234365,103.311204,Sông Mã,xã Phì Nhừ và Mường Luân huyện Điện Biên Đông tỉnh Điện Biên[37],,,,,,,,
Mường Hung,24,93,7/9/1905,7/11/1905,20.980501,103.817656,Sông Mã,xã Mường Hung và Chiềng Canghuyện Sông Mã tỉnh Sơn La,,,,,,,,
Nà Lơi,9.3,46,6/22/1905,6/25/1905,21.468675,103.058425,Nậm Rốm,xã Thanh Minh huyện Điện Biên tỉnh Điện Biên,,,,,,,,
Thác Trắng,6,22,6/26/1905,6/28/1905,21.45797,103.0782,Nậm Rốm,xã Nà Nhạn huyện Điện Biên tỉnh Điện Biên,,,,,,,,
Nậm Sọi,10,35.8,6/30/1905,7/2/1905,20.912677,103.735444,Nậm Sọi,xã Mường Caihuyện Sông Mã tỉnh Sơn La,,,,,,,,
Sông Âm,13,42.7,7/10/1905,7/12/1905,,,Sông Âm,xã Tam Văn huyện Lang Chánh tỉnh Thanh Hóa,,,,,,,,
Ca Nan (1&2),23,80,7/9/1905,7/10/1905,19.318968,104.256259,Ca Nan,"xã Chiêu Lưu, Hữu Kiệm và Na Ngoi, huyện Kỳ Sơn tỉnh Nghệ An",,,,,,,,
Nậm Cắn 2,20,67,7/5/1905,7/7/1905,19.440078,104.095187,Nậm Cắn,xã Tà Cạ và Nậm Cắn huyện Kỳ Sơn Nghệ An|Kỳ Sơn tỉnh Nghệ An,,,,,,,,
Trí Nang,5.4,,,,20.108672,105.186931,Sông Cáy,xã Trí Nang huyện Lang Chánh tỉnh Thanh Hóa,,,,,,,,
Xoỏng Con,15,55,7/1/1905,7/4/1905,19.199568,104.476973,Chà Lạp,xã Tam Thái huyện Tương Dương tỉnh Nghệ An,,,,,,,,
Hương Sơn,33,143,6/26/1905,7/4/1905,18.446022,105.151275,Nậm Chốt,xã Sơn Kim 1 huyện Hương Sơn tỉnh Hà Tĩnh,,,,,,,,
Đồng Văn,28,102,7/8/1905,,19.885577,105.117378,Sông Chu,xã Đồng Văn huyện Quế Phong tỉnh Nghệ An,,,,,,,,
Dốc Cáy,15,,,7/5/1905,19.956111,105.276667,Sông Chu,xã Lương Sơn huyện Thường Xuân tỉnh Thanh Hóa,,,,,,,,
Cửa Đạt,97,430,2/1/2004,11/1/2010,19.878189,105.273122,Sông Chu,xã Xuân Mỹ huyện Thường Xuân tỉnh Thanh Hóa,,,,,,,,
Xuân Minh,15,65.1,7/8/1905,7/10/1905,19.881981,105.334600,Sông Chu,xã Xuân Cẩm huyện Thường Xuân tỉnh Thanh Hoá[38],,,,,,,,
Bản Cốc,18,80,6/27/1905,7/1/1905,19.605331,104.858981,Nậm Giải,xã Châu Kim và Nậm Giải huyện Quế Phong tỉnh Nghệ An,,,,,,,,
La Trọng,18,60,6/29/1905,7/7/1905,17.866950,105.798465,Sông Gianh,xã Trọng Hóa huyện Minh Hóa tỉnh Quảng Bình,,,,,,,,
Sông Quang,32,48,6/29/1905,7/8/1905,19.568100,104.768269,Sông Hiếu,xã Châu Thôn huyện Quế Phong tỉnh Nghệ An,,,,,,,,
Bản Mồng,42,,7/2/1905,7/10/1905,19.452732,105.299201,Sông Hiếu,xã Yên Hợp huyện Quỳ Hợp tỉnh Nghệ An,,,,,,,,
Nậm Nơn,20,89,12/1/2011,7/7/1905,19.296210,104.420913,Nậm Lam,xã Lượng Minh huyện Tương Dương tỉnh Nghệ An,,,,,,,,
Chi Khê,41,200,7/5/1905,7/8/1905,19.088325,104.802233,Sông Lam,xã Con Cuông & Tương Dương tỉnh Nghệ An,,,,,,,,
Tam Thanh,7,,7/9/1905,7/12/1905,,,Sông Lò,xã Tam Thanh huyện Quan Sơn tỉnh Thanh Hóa,,,,,,,,
Sơn Lư,7,,7/9/1905,7/12/1905,,,Sông Lò,xã Sơn Lư huyện Quan Sơn tỉnh Thanh Hóa,,,,,,,,
Trung Xuân,10.5,40,10/1/2017,7/12/1905,20.354133,105.093136,Sông Lò,xã Trung Xuân huyện Quan Sơn tỉnh Thanh Hóa,,,,,,,,
Thành Sơn,30,123,7/7/1905,7/10/1905,20.589884,104.906245,Sông Mã,xã Thành Sơn và Trung Thành huyện Quan Hóa tỉnh Thanh Hóa[39],,,,,,,,
Bá Thước 1,60,216,11/1/2013,8/1/2017,20.319325,105.173011,Sông Mã,xã Thiết Kế huyện Bá Thước tỉnh Thanh Hóa,,,,,,,,
Bá Thước 2,80,400,7/1/1905,7/4/1905,20.322575,105.327830,Sông Mã,xã Điền Lư huyện Bá Thước tỉnh Thanh Hóa,,,,,,,,
Cẩm Thủy 1,28.6,138,7/5/1905,7/10/1905,20.235125,105.404289,Sông Mã,xã Cẩm Thành và Cẩm Lương huyện Cẩm Thủy tỉnh Thanh Hóa,,,,,,,,
Nậm Mô,18,65,7/2/1905,7/5/1905,19.414225,104.112322,Nậm Mô,xã Tà Cạ huyện Kỳ Sơn tỉnh Nghệ An,,,,,,,,
Bản Ang,17,70,7/7/1905,,19.268056,104.408889,Nậm Mộ,xã Xá Lượng huyện Tương Dương tỉnh Nghệ An,,,,,,,,
Hố Hô,14,55,6/26/1905,7/2/1905,18.046367,105.833414,Ngàn Sâu,xã Hương Hóa tỉnh Quảng Bình & Hương Khê tỉnh Hà Tĩnh,,,,,,,,
Nậm Pông,32,130,3/1/2008,1/1/2014,19.518444,105.037708,Nậm Pông,xã Châu Hạnh và Châu Phong huyện Quỳ Châu tỉnh Nghệ An,,,,,,,,
Châu Thắng,14,,7/5/1905,7/9/1905,19.600663,104.993269,Sông Quàng,xã Châu Thắng huyện Quỳ Châu và xã Tiền Phong huyện Quế Phong tỉnh Nghệ An,,,,,,,,
Nhạn Hạc,59,206,7/7/1905,7/10/1905,19.538489,104.957492,Sông Quàng,xã Mường Nọc huyện Quế Phong tỉnh Nghệ An[40],,,,,,,,
Khe Rôn,6,21,6/29/1905,7/1/1905,17.916839,105.970611,Khe Rôn,xã Lê Hóa huyện Tuyên Hóa tỉnh Quảng Bình,,,,,,,,
Khe Thơi,12,38,7/7/1905,7/11/1905,19.111692,104.717428,Khe Thơi,xã Lạng Khê huyện Con Cuông tỉnh Nghệ An,,,,,,,,
Châu Thôn,27,112,6/29/1905,7/8/1905,19.582964,104.800028,Nậm Tột,xã Châu Thôn huyện Quế Phong tỉnh Nghệ An,,,,,,,,
La Tó,12.6,44.3,7/10/1905,7/12/1905,16.505831,107.031300,Khe A Cho,xã Húc Nghì huyện Đa Krông tỉnh Quảng Trị,,,,,,,,
Thượng Lộ,5.2,21.4,7/3/1905,9/1/2015,16.142627,107.748969,Ba Ran,"xã Thượng Lộ và Hương Lộc huyện Nam Đông, tỉnh Thừa Thiên - Huế",,,,,,,,
A Roàng,7.2,30,7/4/1905,7/7/1905,16.124766,107.395365,Sông Bồ,xã A Roàng huyện A Lưới tỉnh Thừa Thiên - Huế[41],,,,,,,,
Hương Điền,81,300,6/27/1905,7/2/1905,16.460069,107.423342,Sông Bồ,xã Hương Vân huyện Hương Trà tỉnh Thừa Thiên - Huế,,,,,,,,
Sông Bồ,20,68.7,7/10/1905,7/12/1905,16.244240,107.373653,Sông Bồ,xã Hồng Hạ huyện A Lưới tỉnh Thừa Thiên - Huế,,,,,,,,
Đa Krông 1,12,45.65,7/1/1905,1/1/2018,16.496989,106.972210,Đa Krông,xã Húc Nghì huyện Đa Krông tỉnh Quảng Trị,,,,,,,,
Đa Krông 2,18,,7/3/1905,5/1/2013,16.649361,106.816610,Đa Krông,xã Đa Krông huyện Đa Krông tỉnh Quảng Trị,,,,,,,,
Đa Krông 3,8,,8/1/2010,10/1/2012,16.562672,106.953681,Đa Krông,xã Tà Long huyện Đa Krông tỉnh Quảng Trị,,,,,,,,
Đa Krông 4,24,85,10/1/2009,12/1/2019,16.597087,106.882203,Đa Krông,xã Ba Nang huyện Đa Krông tỉnh Quảng Trị[42],,,,,,,,
Bình Điền,44,181,6/27/1905,7/1/1905,16.317242,107.502767,Hữu Trạch,xã Bình Điền huyện Hương Trà tỉnh Thừa Thiên - Huế,,,,,,,,
Khe Nghi,8,29.5,10/1/2014,7/8/1905,16.700381,106.773225,Khe Nghi,xã Hướng Linh huyện Hướng Hóa tỉnh Quảng Trị,,,,,,,,
Quảng Trị,64,217.4,6/25/1905,7/1/1905,16.689362,106.704954,Rào Quán,xã Hướng Tân huyện Hướng Hóa tỉnh Quảng Trị[43],,,,,,,,
Hạ Rào Quán,6.4,24.2,,5/1/2011,16.648312,106.769382,Rào Quán,xã Tân Hợp huyện Hướng Hóa tỉnh Quảng Trị,,,,,,,,
A Lin B1,42,165,10/1/2010,1/1/2019,16.311886,107.148700,A Lin,xã Trung Sơn huyện A Lưới tỉnh Thừa Thiên - Huế,,,,,,,,
Hướng Phùng,18,76.8,7/10/1905,7/13/1905,16.709837,106.566643,Sông Sen,xã Hướng Phùng huyện Hướng Hóa tỉnh Quảng Trị,,,,,,,,
Tả Trạch,21,85,6/30/1905,7/5/1905,16.316453,107.637447,Tả Trạch,xã Dương Hòa Tx. Hương Thủy tỉnh Thừa Thiên - Huế,,,,,,,,
A Lin B2,20,,7/8/1905,11/1/2019,16.404101,107.202715,Rào Trăng,xã Phong Xuân huyện Phong Điền tỉnh Thừa Thiên - Huế,,,,,,,,
Rào Trăng 3,13,,7/8/1905,7/11/1905,16.410472,107.228174,Rào Trăng,xã Phong Xuân huyện Phong Điền tỉnh Thừa Thiên - Huế,,,,,,,,
Rào Trăng 4,14,46,7/8/1905,7/11/1905,16.397310,107.298038,Rào Trăng,xã Phong Xuân huyện Phong Điền tỉnh Thừa Thiên - Huế,,,,,,,,
A Vương 3,4.8,25,7/3/1905,7/1/2016,15.918274,107.570552,A Vương,xã A Vương huyện Tây Giang tỉnh Quảng Nam,,,,,,,,
Za Hưng,30,123,6/29/1905,7/1/1905,15.860025,107.653831,A Vương,xã Za Hung huyện Đông Giang tỉnh Quảng Nam,,,,,,,,
