ten_thuy_dien,cong_xuat,san_luong,nam_khoi_cong,nam_hoat_dong,vi_do,kinh_do,tren_song,vi_tri_hanh_chinh,tinh_trang,qui_mo,loai,dung_tich,luu_vuc,chu_dau_tu,loai_hinh,von_dau_tu
Đăk N'teng,13,53,,7/3/1905,12.195769,107.926781,Krông Nô,xã Quảng Sơn huyện Đăk Glong tỉnh Đăk Nông,,,,,,,,
"Đăk Lô 1,2,3",22,93,2/1/2012,1/1/2016,14.727500,108.369444,Đăk Lô,xã Ngok Tem huyện Kon Plông tỉnh Kon Tum,,,,,,,,
Plei Kần Hạ,10,38,,10/1/2020,14.711377,107.712242,Pô Kô,Tt. Plei Kần huyện Ngọc Hồi & xã Ngọc Tụ huyện Đăk Tô tỉnh Kon Tum,,,,,,,,
Đăk Pô Kô,15,66,7/7/1905,7/9/1905,14.65000,107.79028,Pô Kô,xã Pô Kô và xã Tân Cảnh huyện Đăk Tô tỉnh Kon Tum,,,,,,,,
Đăk Pô Ne,15.6,69,6/26/1905,7/1/1905,14.575850,108.304850,Đăk Pô Ne,xã Măng Cành và Tt. Măng Đen huyện Kon Plong tỉnh Kon Tum[48],,,,,,,,
Đăk Psi,18,,,,,,Đăk Psi,xã Đăk Pxi huyện Đăk Hà tỉnh Kon Tum,,,,,,,,
Đăk Psi 2B,14,52.5,7/3/1905,7/10/1905,14.865917,108.014813,Đăk Psi,xã Văn Xuôi và xã Tu Mơ Rông huyện Tu Mơ Rông tỉnh Kon Tum,,,,,,,,
Đăk Psi 3,15,60,7/2/1905,7/4/1905,14.771339,108.002013,Đăk Psi,xã Đăk Pxi huyện Đăk Hà và xã Tu Mơ Rông huyện Tu Mơ Rông tỉnh Kon Tum,,,,,,,,
Đăk Psi 4,30,115,6/29/1905,7/2/1905,14.705816,107.966127,Đăk Psi,xã Đăk Pxi huyện Đăk Hà và xã Đăk Hà huyện Tu Mơ Rông tỉnh Kon Tum,,,,,,,,
Đăk Psi 5,10,40,7/1/1905,7/6/1905,14.660750,107.937924,Đăk Psi,xã Đăk Pxi huyện Đăk Hà tỉnh Kon Tum,,,,,,,,
Đăk Psi 6,12,50,7/10/1905,,,,Đăk Psi,xã Đăk Long huyện Đăk Hà tỉnh Kon Tum,,,,,,,,
Đăk Trưa 1&2,8.8,30,7/10/1905,7/12/1905,14.714736,108.003551,Đăk Trưa,xã Đăk Pxi huyện Đăk Hà và xã Tu Mơ Rông huyện Tu Mơ Rông tỉnh Kon Tum,,,,,,,,
Ia Púch 3,6.6,,,,13.733377,107.804888,Ia Púch,xã Ia O huyện Chư Prông tỉnh Gia Lai,,,,,,,,
Đăk Ruồi,24,,,7/10/1905,,,Đăk Ruồi,xã Xốp huyện Đăk Glei tỉnh Kon Tum,,,,,,,,
Đăk Ruồi 2,14,,7/3/1905,7/13/1905,,,,Tt. Đăk Glei huyện Đăk Glei tỉnh Kon Tum,,,,,,,,
Ry Ninh 2,8.1,,,,,,Ry Ninh,xã Ia Ly huyện Chư Păh tỉnh Gia Lai,,,,,,,,
Sê San 4A,63,331,6/30/1905,7/3/1905,13.930833,107.467778,Sê San,xã Mô Rai huyện Sa Thầy tỉnh Kon Tum và xã Ia O huyện Ia Grai tỉnh Gia Lai,,,,,,,,
Hòa Phú,29,132,7/3/1905,7/6/1905,12.649661,107.909117,Sêrêpôk,xã Hòa Phú Tp. Buôn Mê Thuột tỉnh Đăk Lăk,,,,,,,,
Đray H'linh 1,12,,6/6/1905,6/12/1905,12.671211,107.907508,Sêrêpôk,Tp. Buôn Mê Thuột tỉnh Đăk Lăk,,,,,,,,
Đray H'linh 2,16,80,6/25/1905,6/29/1905,12.675675,107.904142,Sêrêpôk,xã Ea Pô huyện Cư Jut tỉnh Đăk Nông,,,,,,,,
Sêrêpôk 4,80,336,6/30/1905,7/2/1905,12.807242,107.855131,Sêrêpôk,"xã Ea Wer và Tân Hòa huyện Buôn Đôn tỉnh Đăk Lăk và xã Ea Pô huyện Cư Jút 
tỉnh Đăk Nông",,,,,,,,
Sêrêpôk 4A,64,308,7/2/1905,7/6/1905,12.893464,107.812294,Sêrêpôk,"xã Krông Na, Ea Huar, Ea Wer huyện Buôn Đôn tỉnh Đăk Lăk",,,,,,,,
Đăk Rơ Sa,7.5,143,6/25/1905,6/29/1905,14.747278,107.835808,Đăk Tơ Kan,xã Đăk TrămNgọc Tụ huyện Đăk Tô tỉnh Kon Tum,,,,,,,,
Đăk Ba,19.5,,7/9/1905,7/12/1905,15.012395,108.297078,Đăk Ba,xã Sơn Mùa huyện Sơn Tây tỉnh Quảng Ngãi,,,,,,,,
Tiên Thuận,10,40,7/1/1905,7/6/1905,13.998480,108.826588,Suối Cái,xã Tây Thuận huyện Tây Sơn tỉnh Bình Định,,,,,,,,
Sơn Tây,18,,7/9/1905,7/11/1905,15.011400,108.360940,Đăk Đrinh,xã Sơn Tân huyện Sơn Tây tỉnh Quảng Ngãi,,,,,,,,
Sông Hinh,70,370,6/17/1905,6/23/1905,12.928144,108.993572,Sông Hinh,"xã Ea Trol, huyện Sông Hinh, tỉnh Phú Yên",,,,,,,,
Vĩnh Sơn,66,229,6/13/1905,6/23/1905,14.365631,108.694250,Sông Hinh,xã Vĩnh Sơn huyện Vĩnh Thạnh tỉnh Bình Định,,,,,,,,
Vĩnh Sơn 5,28,103,7/1/1905,4/1/2014,14.361094,108.720303,Sông Kôn,xã Vĩnh Kim huyện Vĩnh Thạnh tỉnh Bình Định,,,,,,,,
Định Bình,9.9,45,6/26/1905,6/30/1905,14.156528,108.772672,Sông Kôn,xã Vĩnh Hảo huyện Vĩnh Thạnh tỉnh Bình Định,,,,,,,,
Văn Phong,6,23,7/5/1905,7/7/1905,13.947780,108.862127,Sông Kôn,xã Bình Tường huyện Tây Sơn tỉnh Bình Định,,,,,,,,
La Hiêng 2,18,68,7/1/1905,7/7/1905,13.501723,108.848112,La Hiêng,xã Phú Mỡ huyện Đồng Xuân tỉnh Phú Yên,,,,,,,,
Trà Linh 2,18,,7/9/1905,7/12/1905,15.028136,108.000617,Nước Nà,xã Trà Linh huyện Nam Trà My tỉnh Quảng Nam,,,,,,,,
Trà Linh 3,7.2,,,7/1/1905,15.047286,108.066782,Nước Nà,xã Trà Nam huyện Nam Trà My tỉnh Quảng Nam,,,,,,,,
Nước Biêu,14,49,7/10/1905,12/1/2019,15.079944,108.064282,Nước Biêu,xã Trà Cang huyện Nam Trà My tỉnh Quảng Nam,,,,,,,,
Đăk Re,60,270,7/8/1905,7/1/2019,14.604476,108.485742,Đăk Re,xã Hiếu huyện Kon Plong tỉnh Kon Tum,,,,,,,,
Nước Trong,16.5,70,6/30/1905,7/4/1905,15.080886,108.411756,Tang,xã Sơn Bao huyện Sơn Hà tỉnh Quảng Ngãi,,,,,,,,
Trà Khúc 1,30,124,5/1/2019,7/13/1905,15.013519,108.527357,Trà Khúc,xã Sơn Giang & Sơn Cao huyện Sơn Hà tỉnh Quảng Ngãi,,,,,,,,
Trà Khúc 2,30,114.1,,,,,Trà Khúc,"xã Sơn Thành, Sơn Giang, Sơn Linh huyện Sơn Hà tỉnh Quảng Ngãi",,,,,,,,
Thạch Nham,5,,3/1/2017,7/11/1905,15.119188,108.622099,Trà Khúc,xã Sơn Nham huyện Sơn Hà tỉnh Quảng Ngãi,,,,,,,,
Trà Xom,20,86,1/1/2008,7/5/1905,14.305099,108.688405,Đăk Trúc,xã Vĩnh Sơn huyện Vĩnh Thạnh tỉnh Bình Định,,,,,,,,
Sơn Trà 1A&B,60,220,1/1/2015,1/1/2019,14.846685,108.424153,Xà Lò,xã Sơn Lập huyện Sơn Tây và xã Sơn Kỳ huyện Sơn Hà tỉnh Quảng Ngãi,,,,,,,,
Cần Đơn,77,321,6/22/1905,6/26/1905,11.968903,106.843472,Sông Bé,xã Đa Kia huyện Bù Gia Mập và xã Thanh Hòa huyện Bù Đốp tỉnh Bình Phước,,,,,,,,
Srok Phu Miêng,51,228,6/25/1905,6/28/1905,11.768858,106.756425,Sông Bé,xã Thanh An huyện Hớn Quản và xã Long Hưng huyện Phú Riềng tỉnh Bình Phước,,,,,,,,
Đa Kai,8,30,,,11.775089,107.822376,Đa Kai,xã Lộc Lâm huyện Bảo Lộc tỉnh Lâm Đồng,,,,,,,,
Đa Khai,8.1,38.5,2/1/2006,7/1/1905,12.106329,108.554532,Đa Khai,xã Đa Nhim huyện Lạc Dương tỉnh Lâm Đồng,,,,,,,,
Đambol,10.2,,,1/1/2011,11.693363,107.659180,Đa Mbol,xã Lộc Bắc huyện Bảo Lâm tỉnh Lâm Đồng,,,,,,,,
Đa M'bri,75,338,6/30/1905,7/6/1905,11.582669,107.672578,Đa M'bri,"xã Lộc Tân huyện Bảo Lâm, xã Phước Lộc huyện Đạ Huoai, xã Triệu Hải huyện Đạ 
Tẻh, tỉnh Lâm Đồng",,,,,,,,
Đa Nhim Thượng 2,7.5,32,6/27/1905,7/2/1905,12.085198,108.594621,Đa Chay,xã Đạ Chais huyện Lạc Dương tỉnh Lâm Đồng,,,,,,,,
Đa Siat,13.5,60,6/1/2005,12/1/2009,11.833043,107.644112,Đa Siat,xã Lộc Bảo huyện Bảo Lâm tỉnh Lâm Đồng[49],,,,,,,,
Đại Nga,10,44,6/30/1905,7/7/1905,11.540448,107.872343,Đa R'Nga,xã Lộc Nga Tx. Bảo Lộc và xã Lộc An huyện Bảo Lâm tỉnh Lâm Đồng,,,,,,,,
Đan Sách 1,6,,7/4/1905,7/7/1905,11.266885,108.000182,Đan Sách,xã Đông Tiến huyện Hàm Thuận Bắc tỉnh Bình Thuận,,,,,,,,
Đăk Rung 1&2,14,,6/29/1905,7/2/1905,12.113889,107.633611,Đồng Nai,xã Trường Xuân huyện Đăk Song tỉnh Đăk Nông,,,,,,,,
